Question Title,Topic,Difficulty,Link
"Hamiltonian Path and Circuit","Graph","medium","https://www.geeksforgeeks.org/dsa/hamiltonian-cycle/"
"Kosaraju’s Algorithm","Graph","hard","https://www.geeksforgeeks.org/dsa/connectivity-in-a-directed-graph/"
"Tarjan’s Algorithm","Graph","hard","https://www.geeksforgeeks.org/dsa/tarjan-algorithm-find-strongly-connected-components/"
"Bridges in Graph","Graph","hard","https://www.geeksforgeeks.org/dsa/bridge-in-a-graph/"
"Articulation Points in Graph","Graph","hard","https://www.geeksforgeeks.org/dsa/articulation-points-or-cut-vertices-in-a-graph/"
"Disjoint Set (Union Find Algorithm)","Graph","hard","https://www.geeksforgeeks.org/dsa/introduction-to-disjoint-set-data-structure-or-union-find-algorithm/"
"Mother Vertex","Graph","medium","https://www.geeksforgeeks.org/dsa/find-a-mother-vertex-in-a-graph/"
"Rotten Oranges","Graph","medium","https://www.geeksforgeeks.org/dsa/minimum-time-required-so-that-all-oranges-become-rotten/"
"Flood fill Algorithm","Graph","medium","https://www.geeksforgeeks.org/dsa/flood-fill-algorithm-implement-fill-paint/"
"Replace O's with X's","Graph","medium","https://www.geeksforgeeks.org/dsa/given-matrix-o-x-replace-o-x-surrounded-x/"
"Steps by Knight","Graph","medium","https://www.geeksforgeeks.org/dsa/minimum-steps-reach-target-knight/"
"Bipartite Graph","Graph","medium","https://www.geeksforgeeks.org/dsa/bipartite-graph/"
"Number of Islands","Graph","medium","https://www.geeksforgeeks.org/dsa/find-the-number-of-islands-using-dfs/"
"Clone an Undirected Graph","Graph","medium","https://www.geeksforgeeks.org/dsa/clone-an-undirected-graph/"
"M-Coloring Problem","Graph","medium","https://www.geeksforgeeks.org/dsa/m-coloring-problem/"
"Alien Dictionary","Graph","hard","https://www.geeksforgeeks.org/dsa/given-sorted-dictionary-find-precedence-characters/"
"Circle of Strings","Graph","hard","https://www.geeksforgeeks.org/dsa/given-array-strings-find-strings-can-chained-form-circle/"
"Minimum Cost Path","Graph","hard","https://www.geeksforgeeks.org/dsa/minimum-cost-path-left-right-bottom-moves-allowed/"
"Insert Search and Delete in Trie","Trie","medium","https://www.geeksforgeeks.org/dsa/introduction-to-trie-data-structure-and-algorithm-tutorials/"
"Longest Common Prefix of Strings","Trie","medium","https://www.geeksforgeeks.org/dsa/longest-common-prefix-using-word-by-word-matching/"
"Prefix Suffix String","Trie","medium","https://www.geeksforgeeks.org/dsa/counting-common-prefix-suffix-strings-in-two-lists/"
"Word Break (Trie)","Trie","hard","https://www.geeksforgeeks.org/dsa/word-break-problem-trie-solution/"
"Phone Directory","Trie","hard","https://www.geeksforgeeks.org/dsa/implement-a-phone-directory/"
"Maximum XOR Subarray","Trie","hard","https://www.geeksforgeeks.org/dsa/find-the-maximum-subarray-xor-in-a-given-array/"
