Question Title,Topic,Difficulty,Link
"Count Distinct Elements In Every Window of Size K","Hashing","medium","https://www.geeksforgeeks.org/dsa/count-distinct-elements-in-every-window-of-size-k/"
"4 Sum – Count Quadruplets with Given Sum","Hashing","medium","https://www.geeksforgeeks.org/dsa/count-quadruplets-with-sum-k-from-given-array/"
"Check If Array Pair Sums Divisible by k","Hashing","medium","https://www.geeksforgeeks.org/dsa/check-if-an-array-can-be-divided-into-pairs-whose-sum-is-divisible-by-k/"
"Longest Consecutive Subsequence","Hashing","medium","https://www.geeksforgeeks.org/dsa/longest-consecutive-subsequence/"
"Count Subarrays having Sum K","Hashing","medium","https://www.geeksforgeeks.org/dsa/number-subarrays-sum-exactly-equal-k/"
"Longest Subarray With Sum K","Hashing","medium","https://www.geeksforgeeks.org/dsa/longest-sub-array-sum-k/"
"Longest Subarray With Sum Divisible By K","Hashing","medium","https://www.geeksforgeeks.org/dsa/longest-subarray-sum-divisible-k/"
"Sort according to an Array","Hashing","medium","https://www.geeksforgeeks.org/dsa/sort-array-according-order-defined-another-array/"
"Group Anagrams Together","Hashing","medium","https://www.geeksforgeeks.org/dsa/given-a-sequence-of-words-print-all-anagrams-together/"
"Count Maximum Points on Same Line","Hashing","hard","https://www.geeksforgeeks.org/dsa/count-maximum-points-on-same-line/"
"LFU cache","Hashing","hard","https://www.geeksforgeeks.org/dsa/least-frequently-used-lfu-cache-implementation/"
"Minimum Window Substring","Hashing","hard","https://www.geeksforgeeks.org/dsa/find-the-smallest-window-in-a-string-containing-all-characters-of-another-string/"
"Binary Search Algorithm","Binary Search","easy","https://www.geeksforgeeks.org/dsa/binary-search/"
"N-th root of a number","Binary Search","easy","https://www.geeksforgeeks.org/dsa/n-th-root-number/"
"Single Element in a Sorted Array","Binary Search","medium","https://www.geeksforgeeks.org/dsa/find-the-element-that-appears-once-in-a-sorted-array/"
"Search in a Sorted and Rotated Array","Binary Search","medium","https://www.geeksforgeeks.org/dsa/search-an-element-in-a-sorted-and-pivoted-array/"
"Sum of Middle Elements of two Sorted Arrays","Binary Search","medium","https://www.geeksforgeeks.org/dsa/sum-of-middle-elements-of-two-sorted-arrays/"
"First and Last Occurrence","Binary Search","medium","https://www.geeksforgeeks.org/dsa/find-first-and-last-positions-of-an-element-in-a-sorted-array/"
"Median of two Sorted Arrays","Binary Search","hard","https://www.geeksforgeeks.org/dsa/median-of-two-sorted-arrays-of-different-sizes/"
"Median in a Row-wise sorted Matrix","Binary Search","hard","https://www.geeksforgeeks.org/dsa/find-median-row-wise-sorted-matrix/"
"Allocate Minimum Pages","Binary Search","hard","https://www.geeksforgeeks.org/dsa/allocate-minimum-number-pages/"
"Aggressive Cows","Binary Search","hard","https://www.geeksforgeeks.org/dsa/assign-stalls-to-k-cows-to-maximize-the-minimum-distance-between-them/"
"Find the row with maximum number of 1s","Matrix","easy","https://www.geeksforgeeks.org/dsa/find-the-row-with-maximum-number-1s/"
"Rotate an Image 90 Degree Clockwise","Matrix","medium","https://www.geeksforgeeks.org/dsa/rotate-a-matrix-by-90-degree-in-clockwise-direction-without-using-any-extra-space/"
"Spirally traversing a matrix","Matrix","medium","https://www.geeksforgeeks.org/dsa/print-a-given-matrix-in-spiral-form/"
"Search in a Sorted Matrix","Matrix","medium","https://www.geeksforgeeks.org/dsa/search-element-sorted-matrix/"
"Set Matrix Rows and Columns to Zeroes","Matrix","medium","https://www.geeksforgeeks.org/dsa/set-matrix-rows-and-columns-to-zeroes/"
"Max rectangle in Binary Matrix","Matrix","hard","https://www.geeksforgeeks.org/dsa/maximum-size-rectangle-binary-sub-matrix-1s/"
"Find all Unique Subsets","Recursion and Backtracking","medium","https://www.geeksforgeeks.org/dsa/find-all-unique-subsets-of-a-given-set/"
"Generate Sums of all Subsets","Recursion and Backtracking","medium","https://www.geeksforgeeks.org/dsa/print-sums-subsets-given-set/"
"Tower of Hanoi","Recursion and Backtracking","medium","https://www.geeksforgeeks.org/dsa/c-program-for-tower-of-hanoi/"
"Generate all Unique Permutations","Recursion and Backtracking","medium","https://www.geeksforgeeks.org/dsa/print-all-permutations-of-a-string-with-duplicates-allowed-in-input-string/"
"Rat in a Maze","Recursion and Backtracking","medium","https://www.geeksforgeeks.org/dsa/rat-in-a-maze-problem-when-movement-in-all-possible-directions-is-allowed/"
"Combination Sum (Repeated Selection)","Recursion and Backtracking","medium","https://www.geeksforgeeks.org/dsa/combinational-sum/"
"Combination Sum II (Single Selection)","Recursion and Backtracking","medium","https://www.geeksforgeeks.org/dsa/all-unique-combinations-whose-sum-equals-to-k/"
"Generate all Palindromic Partitions","Recursion and Backtracking","medium","https://www.geeksforgeeks.org/dsa/given-a-string-print-all-possible-palindromic-partition/"
"Generate Valid IP Addresses","Recursion and Backtracking","medium","https://www.geeksforgeeks.org/dsa/program-generate-possible-valid-ip-addresses-given-string/"
"Word Search","Recursion and Backtracking","medium","https://www.geeksforgeeks.org/dsa/check-if-a-word-exists-in-a-grid-or-not/"
"N-Queen Problem","Recursion and Backtracking","hard","https://www.geeksforgeeks.org/dsa/printing-solutions-n-queen-problem/"
"Solve Sudoku","Recursion and Backtracking","hard","https://www.geeksforgeeks.org/dsa/sudoku-backtracking-7/"
"Word Break","Recursion and Backtracking","hard","https://www.geeksforgeeks.org/dsa/word-break-problem-using-backtracking/"
"Validate Parentheses","Stack","easy","https://www.geeksforgeeks.org/dsa/check-for-balanced-parentheses-in-an-expression/"
"Implement two Stacks in an Array","Stack","medium","https://www.geeksforgeeks.org/dsa/implement-two-stacks-in-an-array/"
"The Stock Span Problem","Stack","medium","https://www.geeksforgeeks.org/dsa/the-stock-span-problem/"
"Next Greater Element","Stack","medium","https://www.geeksforgeeks.org/dsa/next-greater-element/"
"Get Min from Stack","Stack","medium","https://www.geeksforgeeks.org/dsa/design-a-stack-that-supports-getmin-in-o1-time-and-o1-extra-space/"
"Evaluation of Postfix Expression","Stack","medium","https://www.geeksforgeeks.org/dsa/evaluation-of-postfix-expression/"
"Longest Valid Parentheses Substring","Stack","medium","https://www.geeksforgeeks.org/dsa/length-of-the-longest-valid-substring/"
"Largest Rectangular Area in a Histogram","Stack","hard","https://www.geeksforgeeks.org/dsa/largest-rectangular-area-in-a-histogram-using-stack/"
"Maximum of Minimum for Every Window Size","Stack","hard","https://www.geeksforgeeks.org/dsa/find-the-maximum-of-minimums-for-every-window-size-in-a-given-array/"
"Implement K Stacks in an Array","Stack","hard","https://www.geeksforgeeks.org/dsa/efficiently-implement-k-stacks-single-array/"
"Stream First Non-repeating","Queue","medium","https://www.geeksforgeeks.org/dsa/find-first-non-repeating-character-stream-characters/"
"Maximum of all subarrays of size K","Deque","medium","https://www.geeksforgeeks.org/dsa/sliding-window-maximum-maximum-of-all-subarrays-of-size-k/"
"Longest Subarray with Absolute Difference Less than or Equal to K","Deque","medium","https://www.geeksforgeeks.org/dsa/longest-subarray-in-which-absolute-difference-between-any-two-element-is-not-greater-than-x/"
"Shortest Subarray with Sum at Least K","Deque","hard","https://www.geeksforgeeks.org/dsa/smallest-subarray-from-a-given-array-with-sum-greater-than-or-equal-to-k/"
"Stack using Queues","Stack, Queue","easy","https://www.geeksforgeeks.org/dsa/implement-stack-using-queue/"
"Queue using Stacks","Stack, Queue","easy","https://www.geeksforgeeks.org/dsa/queue-using-stacks/"
"Connect Ropes with Minimum Cost","Heap","easy","https://www.geeksforgeeks.org/dsa/connect-n-ropes-minimum-cost/"
"Implement Binary Heap","Heap","medium","https://www.geeksforgeeks.org/dsa/binary-heap/"
"Rearrange String to Avoid Adjacent Duplicates","Heap","medium","https://www.geeksforgeeks.org/dsa/rearrange-characters-string-no-two-adjacent/"
"Kth Largest Element","Heap","medium","https://www.geeksforgeeks.org/dsa/kth-largest-element-in-an-array/"
"Merge k Sorted Arrays","Heap","medium","https://www.geeksforgeeks.org/dsa/merge-k-sorted-arrays/"
"Top K Frequent Elements","Heap","medium","https://www.geeksforgeeks.org/dsa/find-k-numbers-occurrences-given-array/"
"Merge K Sorted Linked Lists","Heap","medium","https://www.geeksforgeeks.org/dsa/merge-k-sorted-linked-lists/"
"Kth Smallest Element in Matrix","Heap","medium","https://www.geeksforgeeks.org/dsa/kth-smallest-element-in-a-row-wise-and-column-wise-sorted-2d-array/"
"Sort a K Sorted Array","Heap","medium","https://www.geeksforgeeks.org/dsa/nearly-sorted-algorithm/"
"Find Median in Stream","Heap","hard","https://www.geeksforgeeks.org/dsa/median-of-stream-of-integers-running-integers/"
"K-th Bit is Set or Not","Bit Manipulation","easy","https://www.geeksforgeeks.org/dsa/check-whether-k-th-bit-set-not/"
